Dataset,Sensor,X,Y,Z,File_Path
static,87,-9.109457,-12.268313,142.757080,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,88,-9.210468,-4.543607,138.715942,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,89,-9.311478,-7.391739,146.567520,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,90,-9.412489,-10.439649,139.208511,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,91,-9.513498,-3.598066,142.410278,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,92,-9.614508,-10.388710,144.528641,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,93,-9.715519,-7.039707,138.796844,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,94,-9.816528,-5.763102,144.783066,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,95,-9.917540,-10.269050,141.545670,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,96,-10.018549,-5.398495,140.996078,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,97,-10.119558,-8.156397,144.089264,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,98,-10.220570,-8.112049,140.897247,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,99,-10.321579,-7.530199,142.189896,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,0,-1.716492,-7.525243,143.912003,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms.json
static,1,-1.739073,-8.029077,143.770828,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms.json
static,2,-1.728539,-7.029479,143.765259,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms.json
static,3,-1.789522,-7.519211,142.245255,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms.json
static,4,-1.789522,-7.519211,142.245255,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms.json
static,5,-1.783680,-7.046940,143.238525,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms.json
static,6,-1.772088,-7.997201,143.249451,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms.json
