Dataset,Type,Camera,X,Y,Z,Roll_deg,Pitch_deg,Yaw_deg,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,File_Path
dataset_seed4d.py,Target,9,-3.332300,1.602800,9.326500,161.142,9.752,90.000,0.685181,0.704876,0.056138,0.174715,dataloader_seed4d.txt
dataset_seed4d.py,Target,10,-7.372700,-6.863200,-0.066963,-46.658,-89.441,-90.000,0.655845,0.257909,0.658396,-0.264320,dataloader_seed4d.txt
dataset_seed4d.py,Target,11,-2.827300,-3.714300,8.875000,164.174,-22.710,90.000,0.705832,0.667497,0.233339,-0.042450,dataloader_seed4d.txt
dataset_seed4d.py,Target,12,-1.211100,2.974300,9.482600,173.621,17.414,90.000,0.691917,0.703832,-0.067989,0.145770,dataloader_seed4d.txt
dataset_seed4d.py,Target,13,-7.271700,5.092500,4.757400,134.179,46.949,90.000,0.487768,0.707072,-0.006959,0.511941,dataloader_seed4d.txt
dataset_seed4d.py,Target,14,-3.534300,9.359700,-0.775430,-20.087,85.264,-90.000,0.380853,0.562299,-0.428744,0.595777,dataloader_seed4d.txt
dataset_seed4d.py,Target,15,-9.696000,-0.644330,2.739000,106.342,-13.238,90.000,0.611072,0.513363,0.486271,0.355794,dataloader_seed4d.txt
dataset_seed4d.py,Target,16,-4.443400,-8.013800,4.112600,154.257,-62.834,90.000,0.670390,0.506168,0.493754,-0.224895,dataloader_seed4d.txt
dataset_seed4d.py,Target,17,-8.180800,-5.513300,-2.074600,-53.910,-69.379,-90.000,0.622263,0.095169,0.700673,-0.335841,dataloader_seed4d.txt
dataset_seed4d.py,Target,18,-0.807070,-4.597500,-8.852300,-4.055,-27.446,-90.000,-0.191937,-0.143339,-0.692427,0.680558,dataloader_seed4d.txt
dataset_seed4d.py,Target,19,-2.322200,-8.003300,5.568500,167.160,-55.171,90.000,0.659405,0.586184,0.395463,-0.255310,dataloader_seed4d.txt
dataset_nuscene.py,Context,0,-1.494900,1.722000,-0.004800,-129.668,-89.085,40.173,-0.503474,-0.501633,-0.492232,0.502579,dataloader_Nuscenes.txt
dataset_nuscene.py,Context,1,-1.517500,1.580800,0.499100,-0.244,-32.419,-88.928,-0.196995,-0.197798,-0.673038,0.684901,dataloader_Nuscenes.txt
dataset_nuscene.py,Context,2,-1.550500,1.059500,0.467200,0.707,22.521,-89.876,0.142205,0.133913,-0.693576,0.693396,dataloader_Nuscenes.txt
dataset_nuscene.py,Context,3,-1.567900,0.055200,-0.010800,-128.845,89.170,140.599,0.501176,0.503361,-0.502219,0.493180,dataloader_Nuscenes.txt
dataset_nuscene.py,Context,4,-1.562100,1.048500,-0.483100,-178.864,18.578,89.849,0.699832,0.695760,-0.121205,0.107059,dataloader_Nuscenes.txt
dataset_nuscene.py,Context,5,-1.507000,1.575300,-0.500500,-178.858,-34.661,89.721,0.674493,0.675456,0.204424,-0.216861,dataloader_Nuscenes.txt
dataset_nuscene.py,Target,0,-8.685900,-5.017600,1.051900,120.843,-78.160,90.000,0.697408,0.257328,0.658621,-0.116718,dataloader_Nuscenes.txt
dataset_nuscene.py,Target,1,-9.089900,4.377500,-0.138260,-64.025,88.191,-90.000,0.148014,0.686425,-0.169768,0.691442,dataloader_Nuscenes.txt
dataset_nuscene.py,Target,2,-1.716200,7.546000,6.359700,170.699,49.876,90.000,0.614897,0.663239,-0.245179,0.349145,dataloader_Nuscenes.txt
dataset_nuscene.py,Target,3,-3.029300,8.463600,4.448200,162.966,62.275,90.000,0.544408,0.652710,-0.271974,0.451242,dataloader_Nuscenes.txt
dataset_nuscene.py,Target,4,-9.190900,-2.981500,2.909600,114.620,-45.699,90.000,0.696703,0.400109,0.583021,0.120851,dataloader_Nuscenes.txt
dataset_nuscene.py,Target,5,-1.312100,-8.588300,-4.977100,-6.962,-59.907,-90.000,-0.389602,-0.315204,-0.632967,0.590093,dataloader_Nuscenes.txt
dataset_nuscene_cam_change.py,Context,0,-1.494900,1.722000,-0.004800,-129.668,-89.085,40.173,-0.503474,-0.501633,-0.492232,0.502579,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Context,1,-1.517500,1.580800,0.499100,-0.244,-32.419,-88.928,-0.196995,-0.197798,-0.673038,0.684901,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Context,2,-1.507000,1.575300,-0.500500,-178.858,-34.661,89.721,0.674493,0.675456,0.204424,-0.216861,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Context,3,-1.567900,0.055200,-0.010800,-128.845,89.170,140.599,0.501176,0.503361,-0.502219,0.493180,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Context,4,-1.562100,1.048500,-0.483100,-178.864,18.578,89.849,0.699832,0.695760,-0.121205,0.107059,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Context,5,-1.550500,1.059500,0.467200,0.707,22.521,-89.876,0.142205,0.133913,-0.693576,0.693396,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,0,-3.332300,1.602800,9.326500,161.142,9.752,90.000,0.685181,0.704876,0.056138,0.174715,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,1,-9.999000,-1.292800,0.582050,98.151,-65.761,90.000,0.700149,0.197215,0.679048,0.098950,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,2,-6.059600,-7.825700,-1.800700,-36.581,-77.042,-90.000,0.591758,0.244516,0.663486,-0.387066,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,3,-6.463600,7.101200,3.012700,140.478,67.011,90.000,0.422921,0.686858,-0.168006,0.566690,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,4,-8.988900,-3.474100,-2.986400,-62.734,-49.317,-90.000,0.586394,-0.082604,0.702265,-0.395149,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,5,-3.837400,6.232000,6.869800,158.054,42.213,90.000,0.599140,0.696076,-0.124408,0.375544,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,6,-3.029300,8.463600,4.448200,162.966,62.275,90.000,0.544408,0.652710,-0.271974,0.451242,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,7,-9.493900,-3.393200,-0.490290,-69.950,-81.778,-90.000,0.685693,0.072859,0.703344,-0.172693,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,8,-0.201010,-7.373300,6.754600,179.421,-47.508,90.000,0.648635,0.645756,0.288094,-0.281556,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,9,-5.352500,5.515600,-6.479900,-31.685,40.404,-90.000,0.053747,0.416070,-0.571741,0.705059,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,10,-2.221200,9.685200,1.303100,167.753,82.337,90.000,0.479607,0.578907,-0.406032,0.519597,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,11,-0.302020,0.874080,-9.959700,-1.158,5.016,-90.000,0.023802,0.038074,-0.706081,0.706706,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,12,-2.423200,2.134800,-9.489200,-13.434,12.678,-90.000,-0.004660,0.159739,-0.688829,0.707090,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,13,-8.887900,0.567070,4.738300,118.503,6.825,90.000,0.585106,0.628145,0.324708,0.397051,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,14,-9.696000,-0.644330,2.739000,106.342,-13.238,90.000,0.611072,0.513363,0.486271,0.355794,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,15,-7.574700,-0.645300,6.611500,131.628,-5.575,90.000,0.658362,0.630186,0.320725,0.257993,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,16,-8.786900,2.888400,-4.024400,-60.306,35.668,-90.000,-0.150867,0.525376,-0.473264,0.690826,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,17,-8.382800,-2.424300,5.051500,124.077,-25.636,90.000,0.682555,0.535442,0.461847,0.184714,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,18,-2.120200,-6.275000,-7.519500,-11.655,-39.845,-90.000,-0.307200,-0.172200,-0.685818,0.636889,dataloader_Nuscene_cam_change.txt
dataset_nuscene_cam_change.py,Target,19,-6.160600,6.920600,-3.921000,-37.305,60.466,-90.000,0.141945,0.532731,-0.464969,0.692714,dataloader_Nuscene_cam_change.txt
